------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Conduction Band Potential (eV)
                   0,       0.465681922415
      0.336673338188,       0.465681922415
      0.673346676377,       0.465681922415
       1.01002001456,       0.465681922415
       1.34669335275,       0.465681922415
       1.68336669094,       0.465681922415
       2.02004002913,       0.465681922415
       2.35671336732,       0.465681922415
       2.69338670551,       0.465681922415
       3.03006004369,       0.465681922415
       3.36673338188,       0.465681922415
       3.70340672007,       0.465681922415
       4.04008005826,       0.465681922415
       4.37675339645,       0.465681922415
       4.71342673464,       0.465681922415
       5.05010007282,       0.465681922415
       5.38677341101,       0.465681922415
        5.7234467492,       0.465681922415
       6.06012008739,       0.465681922415
       6.39679342558,       0.465681922415
       6.73346676377,       0.465681922415
       7.07014010195,       0.465681922415
       7.40681344014,       0.465681922415
       7.74348677833,       0.465681922415
       8.08016011652,       0.465681922415
       8.41683345471,       0.465681922415
        8.7535067929,       0.465681922415
       9.09018013108,       0.465681922415
       9.42685346927,       0.465681922415
       9.76352680746,       0.465681922415
       10.1002001456,       0.465681922415
       10.4368734838,       0.465681922415
        10.773546822,       0.465681922415
       11.1102201602,       0.465681922415
       11.4468934984,       0.465681922415
       11.7835668366,       0.465681922415
       12.1202401748,       0.465681922415
        12.456913513,       0.465681922415
       12.7935868512,       0.465681922415
       13.1302601893,       0.465681922415
       13.4669335275,       0.465681922415
       13.8036068657,       0.465681922415
       14.1402802039,       0.465681922415
       14.4769535421,       0.465681922415
       14.8136268803,       0.465681922415
       15.1503002185,       0.465681922415
       15.4869735567,       0.465681922415
       15.8236468949,       0.465681922415
        16.160320233,       0.465681922415
       16.4969935712,       0.465681922415
       16.8336669094,       0.465681922415
       17.1703402476,       0.465681922415
       17.5070135858,       0.465681922415
        17.843686924,       0.465681922415
       18.1803602622,       0.465681922415
       18.5170336004,       0.465681922415
       18.8537069385,       0.465681922415
       19.1903802767,       0.465681922415
       19.5270536149,       0.465681922415
       19.8637269531,       0.465681922415
       20.2004002913,       0.465681922415
       20.5370736295,       0.465681922415
       20.8737469677,       0.465681922415
       21.2104203059,       0.465681922415
       21.5470936441,       0.465681922415
       21.8837669822,       0.465681922415
       22.2204403204,       0.465681922415
       22.5571136586,       0.465681922415
       22.8937869968,       0.465681922415
        23.230460335,       0.465681922415
       23.5671336732,       0.465681922415
       23.9038070114,       0.465681922415
       24.2404803496,       0.465681922415
       24.5771536877,       0.465681922415
       24.9138270259,       0.465681922415
       25.2505003641,       0.465681922415
       25.5871737023,       0.465681922415
       25.9238470405,       0.465681922415
       26.2605203787,       0.465681922415
       26.5971937169,       0.465681922415
       26.9338670551,       0.465681922415
       27.2705403933,       0.465681922415
       27.6072137314,       0.465681922415
       27.9438870696,       0.465681922415
       28.2805604078,       0.465681922415
        28.617233746,       0.465681922415
       28.9539070842,       0.465681922415
       29.2905804224,       0.465681922415
       29.6272537606,       0.465681922415
       29.9639270988,       0.465681922415
       30.3006004369,       0.465681922415
       30.6372737751,       0.465681922415
       30.9739471133,       0.465681922415
       31.3106204515,       0.465681922415
       31.6472937897,       0.465681922415
       31.9839671279,       0.465681922415
       32.3206404661,       0.465681922415
       32.6573138043,       0.465681922415
       32.9939871425,       0.465681922415
       33.3306604806,       0.465681922415
       33.6673338188,       0.465681922415
        34.004007157,       0.465681922415
       34.3406804952,       0.465681922415
       34.6773538334,       0.465681922415
       35.0140271716,       0.465681922415
       35.3507005098,       0.465681922415
        35.687373848,       0.465681922415
       36.0240471861,       0.465681922415
       36.3607205243,       0.465681922415
       36.6973938625,       0.465681922415
       37.0340672007,       0.465681922415
       37.3707405389,       0.465681922415
       37.7074138771,       0.465681922415
       38.0440872153,       0.465681922415
       38.3807605535,       0.465681922415
       38.7174338917,       0.465681922415
       39.0541072298,       0.465681922415
        39.390780568,       0.465681922415
       39.7274539062,       0.465681922415
       40.0641272444,       0.465681922415
       40.4008005826,       0.465681922415
       40.7374739208,       0.465681922415
        41.074147259,       0.465681922415
       41.4108205972,       0.465681922415
       41.7474939353,       0.465681922415
       42.0841672735,       0.465681922415
       42.4208406117,       0.465681922415
       42.7575139499,       0.465681922415
       43.0941872881,       0.465681922415
       43.4308606263,       0.465681922415
       43.7675339645,       0.465681922415
       44.1042073027,       0.465681922415
       44.4408806409,       0.465681922415
        44.777553979,       0.465681922415
       45.1142273172,       0.465681922415
       45.4509006554,       0.465681922415
       45.7875739936,       0.465681922415
       46.1242473318,       0.465681922415
         46.46092067,       0.465681922415
       46.7975940082,       0.465681922415
       47.1342673464,       0.465681922415
       47.4709406846,       0.465681922415
       47.8076140227,       0.465681922415
       48.1442873609,       0.465681922415
       48.4809606991,       0.465681922415
       48.8176340373,       0.465681922415
       49.1543073755,       0.465681922415
       49.4909807137,       0.465681922415
       49.8276540519,       0.465681922415
       50.1643273901,       0.465681922415
       50.5010007282,       0.465681922415
       50.8376740664,       0.465681922415
       51.1743474046,       0.465681922415
       51.5110207428,       0.465681922415
        51.847694081,       0.465681922415
       52.1843674192,       0.465681922415
       52.5210407574,       0.465681922415
       52.8577140956,       0.465681922415
       53.1943874338,       0.465681922415
       53.5310607719,       0.465681922415
